Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
prokinetics-artic-de-joelho-policentrica-media-aco-hastes-alum-par,"Artic. de joelho POLICÊNTRICA, média, aço, hastes alum. (par)","<p>Artic. de joelho POLICÊNTRICA, média, aço, hastes alum. (par) 2.062,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1009-B6</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1009-B6,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Artic. de joelho POLICÊNTRICA, média, aço, hastes alum. (par)",active
prokinetics-artic-de-joelho-trava-anel-c-ajust-flex-ext-grande-aco-hastes-par,"Artic. de joelho trava ANEL c/ajust.flex/ext, grande, aço, hastes (par)","<p>Artic. de joelho trava ANEL c/ajust.flex/ext, grande, aço, hastes (par) 2.599,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1010-A6</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1010-A6,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Artic. de joelho trava ANEL c/ajust.flex/ext, grande, aço, hastes (par)",active
prokinetics-artic-de-joelho-trava-anel-c-ajust-flex-ext-media-aco-hastes-par,"Artic. de joelho trava ANEL c/ajust.flex/ext, média, aço, hastes (par)","<p>Artic. de joelho trava ANEL c/ajust.flex/ext, média, aço, hastes (par) 2.568,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1010-B6</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1010-B6,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Artic. de joelho trava ANEL c/ajust.flex/ext, média, aço, hastes (par)",active
prokinetics-artic-de-joelho-com-trava-suica-extra-grande-aco-hastes-alum-par,"Artic. de joelho com trava SUIÇA, extra grande, aço, hastes alum (par)","<p>Artic. de joelho com trava SUIÇA, extra grande, aço, hastes alum (par) 4.821,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1017-A38</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1017-A38,shopify,0,deny,manual,1450.00,,TRUE,TRUE,,"Artic. de joelho com trava SUIÇA, extra grande, aço, hastes alum (par)",active
prokinetics-ou-b6-artic-de-joelho-com-trava-suica-grande-ou-media-aco-hastes-alum,"Ou B6 Artic. de joelho com trava SUIÇA, grande ou média, aço, hastes alum","<p>ou B6 Artic. de joelho com trava SUIÇA, grande ou média, aço, hastes alum 2.114,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1017-A6</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1017-A6,shopify,0,deny,manual,1450.00,,TRUE,TRUE,,"Ou B6 Artic. de joelho com trava SUIÇA, grande ou média, aço, hastes alum",active
prokinetics-artic-de-joelho-com-trava-suica-grande-aco-hastes-aco-par,"Artic. de joelho com trava SUIÇA, grande, aço, hastes aÇO (par)","<p>Artic. de joelho com trava SUIÇA, grande, aço, hastes aÇO (par) 2.143,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1017-A6S</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1017-A6S,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Artic. de joelho com trava SUIÇA, grande, aço, hastes aÇO (par)",active
prokinetics-ou-ar-artic-quadril-trava-anel-grande-esq-ou-dir-un,"Ou AR Artic. quadril trava anel, grande, ESQ. ou DIR. (un)","<p>ou AR Artic. quadril trava anel, grande, ESQ. ou DIR. (un) 967,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1022-AL</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1022-AL,shopify,0,deny,manual,,,TRUE,TRUE,,"Ou AR Artic. quadril trava anel, grande, ESQ. ou DIR. (un)",draft
prokinetics-ou-br-artic-quadril-trava-anel-media-esq-ou-dir-un,"Ou BR Artic. quadril trava anel, média, ESQ. ou DIR. (un)","<p>ou BR Artic. quadril trava anel, média, ESQ. ou DIR. (un) 967,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1022-BL</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1022-BL,shopify,0,deny,manual,,,TRUE,TRUE,,"Ou BR Artic. quadril trava anel, média, ESQ. ou DIR. (un)",draft
prokinetics-ou-cr-artic-quadril-trava-anel-pequena-esq-ou-dir-un,"Ou CR Artic. quadril trava anel, pequena, ESQ. ou DIR. (un)","<p>ou CR Artic. quadril trava anel, pequena, ESQ. ou DIR. (un) 967,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1022-CL</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1022-CL,shopify,0,deny,manual,,,TRUE,TRUE,,"Ou CR Artic. quadril trava anel, pequena, ESQ. ou DIR. (un)",draft
prokinetics-ou-ar-artic-quadril-livre-grande-esq-ou-dir-un,"Ou AR Artic. quadril livre, grande, ESQ. ou DIR. (un)","<p>ou AR Artic. quadril livre, grande, ESQ. ou DIR. (un) 857,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1025-AL</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1025-AL,shopify,0,deny,manual,,,TRUE,TRUE,,"Ou AR Artic. quadril livre, grande, ESQ. ou DIR. (un)",draft
