Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
prokinetics-cone-de-pva-10-cm-2-un,,,,,,,,Tamanho,30,9F81-30,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-cone-de-pva-10-cm-2-un,,,,,,,,Tamanho,35,9F81-35,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-malha-tubular-de-algodao-10-cm-cru-cor-bege-rolo,"Malha tubular de ALGODÃO 10 cm, cru, cor bege (rolo)","<p>Malha tubular de ALGODÃO 10 cm, cru, cor bege (rolo) — distribuído pela minha prótese com nota fiscal e garantia de origem da ProKinetics.</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,,ProKinetics,TRUE,Tamanho,10,9M20-10,shopify,0,deny,manual,,TRUE,TRUE,,"Malha tubular de ALGODÃO 10 cm, cru, cor bege (rolo)",draft
prokinetics-malha-tubular-de-algodao-10-cm-cru-cor-bege-rolo,,,,,,,,Tamanho,12,9M20-12,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-malha-tubular-de-algodao-10-cm-cru-cor-bege-rolo,,,,,,,,Tamanho,15,9M20-15,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-malha-tubular-de-algodao-10-cm-cru-cor-bege-rolo,,,,,,,,Tamanho,20,9M20-20,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-malha-tubular-de-algodao-10-cm-cru-cor-bege-rolo,,,,,,,,Tamanho,25,9M20-25,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-malha-tubular-de-poliester-10-cm-rolo,Malha tubular de POLIESTER 10 cm (rolo),<p>Malha tubular de POLIESTER 10 cm (rolo) — distribuído pela minha prótese com nota fiscal e garantia de origem da ProKinetics.</p>,ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,,ProKinetics,TRUE,Tamanho,10,9M30-10,shopify,0,deny,manual,,TRUE,TRUE,,Malha tubular de POLIESTER 10 cm (rolo),draft
prokinetics-malha-tubular-de-poliester-10-cm-rolo,,,,,,,,Tamanho,12,9M30-12,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-malha-tubular-de-poliester-10-cm-rolo,,,,,,,,Tamanho,15,9M30-15,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-malha-tubular-de-helanca-10-cm-branca-rolo,"Malha tubular de HELANCA 10 cm, branca (rolo)","<p>Malha tubular de HELANCA 10 cm, branca (rolo) — distribuído pela minha prótese com nota fiscal e garantia de origem da ProKinetics.</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,,ProKinetics,TRUE,Tamanho,10,9M40-10,shopify,0,deny,manual,,TRUE,TRUE,,"Malha tubular de HELANCA 10 cm, branca (rolo)",draft
prokinetics-malha-tubular-de-helanca-10-cm-branca-rolo,,,,,,,,Tamanho,12,9M40-12,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-malha-tubular-de-helanca-10-cm-branca-rolo,,,,,,,,Tamanho,15,9M40-15,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-malha-tubular-de-helanca-10-cm-branca-rolo,,,,,,,,Tamanho,20,9M40-20,shopify,0,deny,manual,,TRUE,TRUE,,,
prokinetics-malha-tubular-fibra-de-carbono-10-cm-metro-39400-ipi,"Malha tubular fibra de CARBONO 10 cm (metro) 394,00 IPI*","<p>Malha tubular fibra de CARBONO 10 cm (metro) 394,00 IPI* — distribuído pela minha prótese com nota fiscal e garantia de origem da ProKinetics.</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,,ProKinetics,TRUE,Tamanho,10,9M90-10,shopify,0,deny,manual,850.00,TRUE,TRUE,,"Malha tubular fibra de CARBONO 10 cm (metro) 394,00 IPI*",active
prokinetics-malha-tubular-fibra-de-carbono-10-cm-metro-39400-ipi,,,,,,,,Tamanho,12,9M90-12,shopify,0,deny,manual,850.00,TRUE,TRUE,,,
prokinetics-malha-tubular-fibra-de-carbono-10-cm-metro-39400-ipi,,,,,,,,Tamanho,15,9M90-15,shopify,0,deny,manual,850.00,TRUE,TRUE,,,
prokinetics-malha-tubular-fibra-de-carbono-10-cm-metro-39400-ipi,,,,,,,,Tamanho,20,9M90-20,shopify,0,deny,manual,850.00,TRUE,TRUE,,,
